TxnID,Date,Description,Internal reference,External reference,Currency,Amount,Balance after transaction,Match,Booking,Synced to Dooer date
"182","2017-02-01","IWANTMYNAME",,,"SEK","-135.24","0","Doc 103","A132","2017-02-09 15:52:42"
"181","2017-01-30","IWANTMYNAME",,,"SEK","-155.73","0","Doc 104","A130","2017-02-09 15:52:42"
"180","2017-01-13","CRAZY EGG.COM",,,"SEK","-990.61","0","Doc 66","A57","2017-02-09 15:52:42"
"179","2017-01-11","DROPBOX B6GYBJ8G1JVR",,,"SEK","-93.5","0","Doc 37","A56","2017-02-09 15:52:42"
"178","2017-01-09","SENTRY",,,"SEK","-269.65","0","Doc 64","A40,A54,A55","2017-02-09 15:52:42"
"177","2017-01-07","STATUS HERO",,,"SEK","-213.51","0","Doc 18","A39,A52,A53","2017-02-09 15:52:42"
"176","2017-01-02","1PASSWORD",,,"SEK","-23.22","0","Doc 67","A37,A48,A49","2017-02-09 15:52:42"
"175","2017-01-02","GITHUB.COM KBUM",,,"SEK","-65.25","0","Doc 15","A38,A50,A51","2017-02-09 15:52:42"
"174","2017-01-01","GOOGLE *SVCSAPPS_EVERY",,,"SEK","-336.27","0","Doc 75","A36,A46,A47","2017-02-09 15:52:41"
